name,description,image,perfumeHouse,openNotes,heartNotes,baseNotes,detailURL
A Flame In Your Heart,"If all you want is to smell totally gorgeous this is the amber you need. Magnolia and rose, kumquat and cocoa, pink pepper and tonka harmonising over an inviting quartet of sultry balsams: labdanum, benzoin, styrax and cistus. Irresistible.This amber fragrance is a favourite for a reason.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/6/21063066/1080x1080.png?1717171423,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1805674-A-Flame-In-Your-Heart.html
A Walk In The Forest,"We originally created this fragrance for a Soho art installation to evoke the perfect place for a day out. A sun-dappled forest with moss underfoot, honeyed linden blossom and tall Virginian cedars, smoothed off with musks.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/6/21066535/1080x1080.png?1717513312,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1723195-A-Walk-In-The-Forest.html
Amberama,"Woods, amber and a drop or two of raspberry, Amberama is a soft fragrance blend, with a base of resinous balsams. Named partly in honour of a certain 1980s girl group, it is full of fruity fun (but absolutely no banana).",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/7/21077683/1080x1080.png?1718371890,4160 Tuesdays,"[""bergamot"", ""black pepper""]","[""raspberry"", ""iris"", ""sandalwood""]","[""amber"", ""labdanum"", ""woods"", ""musks""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1494117-Amberama.html
Another Kiss by the Fireside,"An old farmhouse kitchen with an open fire, bunches of dried flowers on a centuries old pine table smoothed with use, homemade biscuits cooking in the oven - all in a perfume bottle. It’s inviting, welcoming and comfortable to wear - a warm embrace.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/6/21066519/1080x1080.png?1717512726,4160 Tuesdays,"[""blood orange"", ""cinnamon leaf"", ""lavender""]","[""rose"", ""geranium""]","[""vetivert"", ""leather""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1476563-Another-Kiss-by-the-Fireside.html
Bodhi Language,"Imagine four hand-carved wooden boxes, inlaid with opals, brought to Britain from the tropics, sandalwood, cedarwood, white oudh and Buddhawood, with a hint of coconut and rum. It's a soft and gentle fragrance, with a whole tropical forest of woods, but as if they've been smoothed and polished, and served a nice relaxing cocktail.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/1/5/21150986/1080x1080.png?1723818126,4160 Tuesdays,"[""bergamot""]","[""malt whiskey"", ""buddhawood"", ""boronia"", ""gardenia"", ""redbush""]","[""sandalwood"", ""cedarwood"", ""white oudh"", ""ambergris""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1476575-Bodhi-Language.html
Both Sides of Clouds,"Our Clouds fragrances have taken many forms, but now they’re floating across the sky as this one: Both Sides of Clouds.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/6/21066601/1080x1080.png?1717515571,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1675743-Both-Sides-of-Clouds.html
Brackenbury,"An autumn fragrance; a London cottage garden in the 1920s, the last of the roses, blackcurrants and raspberries, apples ripening, tobacco and a warm wooden shed. Brackenbury is the small area of West London where you can find 4160Tuesdays’ studio.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/6/21067125/1080x1080.png?1717580932,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1785422-Brackenbury.html
Burnt Cedar Rainbow Doves,"A fragrance built on a contradiction of sugared almonds with cedar bonfires, insecurely connected by wild rose, orange blossom and moss, inspired by the accomplished eccentric, Lord Berners. It evokes his outrageous parties, where the Bright Young Things danced themselves silly.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/6/21067140/1080x1080.png?1717581427,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1785391-Burnt-Cedar-Rainbow-Doves.html
Butterlily Damselfly,"Intrigued by the aroma of waterlilies we swam to the centre of a lake to smell them, buzzed by iridescent damselflies. To complete the scene, oak trees, cut grass, fresh water, hay bales, beeswax and warm skin.The fragrance of a warm day by a tranquil lake.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/6/21062967/1080x1080.png?1717167558,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1805675-Butterlily-Damselfly.html
Captured by Candlelight,"A rich, fruity & boozy scent, with oak woods and a hint of dripping hot candle wax.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/1/0/21105731/1080x1080.png?1720445548,4160 Tuesdays,"[""cognac"", ""cinnamon"", ""toffee""]","[""stewed fruits"", ""toasted hazelnuts""]","[""opoponax"", ""candlewax"", ""oakwood""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1476576-Captured-by-Candlelight.html
Centrepiece,"A smooth, sophisticated fragrance that blends its elements so that no particular one stands out. If you try, you might detect the honey, frangipani flowers and cedarwood, with a light, green tea freshness, but we prefer to enjoy it as one lovely aroma.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/6/21067185/1080x1080.png?1717582139,4160 Tuesdays,"[""honey"", ""green tea""]","[""frangipani"", ""cedarwood""]","[""musks"", ""vanilla""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1478771-Centrepiece.html
Cherry Who?,"We have cherry trees growing in West London but their beautiful fluffy pale pink blossom doesn’t have an aroma. We created this perfume for them, blended with wafts of dark ripe fruit.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/6/21067368/1080x1080.png?1717585312,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1769839-Cherry-Who.html
Clouds Illusion,"All four of our Clouds fragrances waft narcissus, orange flowers, orris, musks, and a hint of white chocolate. Clouds Illusion is the more affordable fragrance; no expensive flowers were sacrificed to make it, and yet its scent is equally beautiful.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/6/21063047/1080x1080.png?1717170046,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1801481-Clouds-Illusion.html
Complicated Shadows,"This fragrance is the darkest of the Clouds series, named after the song by Elvis Costello & The Attractions and capturing the spirit of 2021. With notes of sandalwood, shade, narcissus, iris and irony.",,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1751523-Complicated-Shadows.html
Court of Ravens,"This fragrance is an incense rose at heart, with a chypre soul running through it, from oakmoss, styrax and labdanum at its roots. To bring glossy black glints of ravens’ wings, shining as they catch the light, we added drops of Yakima peppermint, French lavender, cumin and pink grapefruit, with discretion.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/6/21067672/1080x1080.png?1717592412,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1751528-Court-of-Ravens.html
Creamy Vanilla Crumble,This creamy yet sophisticated fragrance brings vanilla custard with notes of crumble and added hints of hay and fresh leaf tobacco to bring intrigue to a fragrance which might otherwise be a little bit too fluffy. It stays next to the skin to invite closer inspection.,https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/6/21067706/1080x1080.png?1717593078,4160 Tuesdays,"[""custard"", ""cream""]","[""vanilla"", ""malt""]","[""hay"", ""tobacco"", ""musk""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1476582-Creamy-Vanilla-Crumble.html
Crikey! Coconut Caramel,"An extravagant floral perfume dropped into a delicious ice cream sundae surprise: magnolia blossom and lily harmonise with sticky toffee, coffee, chocolate, coconut and vanilla. Shouldn’t work, but does.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/6/21067763/1080x1080.png?1717595757,4160 Tuesdays,[],[],"[""adding to the complexity. to me this is a near-perfect gourmand!\""- bry-d218""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1751529-Crikey-Coconut-Caramel.html
Dancing with Strangers,"A classic lipstick and powder, rose and violet fragrance, with twists of white flowers and honeysuckle and surrounded by soft musks. It invites you to dance ‘til dawn in its gentle embrace.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/6/21067792/1080x1080.png?1717596819,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1751531-Dancing-with-Strangers.html
Dandelion Musk,"A festival in a field fragrance: wildflower meadows, long grass, wild geranium, chamomile, rose and green leaves, swirling over a low beat of intoxicating musks. Lying in the warm long grass staring at the clear sky.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/7/21074132/1080x1080.png?1718111172,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1751532-Dandelion-Musk.html
Dark Queen,"Our Dark Queen fragrance is a sleek wildcat which has been grazing at a berry farm. The aroma of a furry animal on a traditional amber base with the lyrical sensuality of styrax and labdanum. This scent brings dark and fruity hints of oudh, with a stirring of red fruits, tonka, plum and apricot.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/7/21077033/1080x1080.png?1718296892,4160 Tuesdays,"[""bergamot"", ""tonka"", ""raspberry""]","[""oudh"", ""blackcurrant"", ""plum""]","[""styrax"", ""labdanum"", ""musk""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1661901-Dark-Queen.html
