name,description,image,perfumeHouse,openNotes,heartNotes,baseNotes,detailURL
Pride Collection,(Sapphic is not a Limited Edition scent and is available all year but is included here in this listing for ease because it is a Pride scent!),https://www.luvmilk.com/uploads/9/0/3/1/90317537/s230667561221405490_p268_i2_w1080.png?width=640,luvmilk,"[""59pm est or while supplies last. originally all scents were part of the general collection"", ""they are now only available during june for pride.""]",[],[],https://www.luvmilk.com/store/p268/Pride_Collection_-_All_Products.html
Radiant Kitten,"Radiant Kitten is the youngest of the female Kittens and the second youngest overall. Closest to Nimble Kitten, she is an avid dancer, volley ball player, and overall sunshine child. Almost always smiling, she is very boisterous and not afraid to break a sweat.",https://www.luvmilk.com/uploads/9/0/3/1/90317537/s230667561221405490_p187_i6_w640.jpeg,luvmilk,"[""heaps of mandarin oranges"", ""orange blossoms"", ""tangerine"", ""neroli"", ""vanilla"", ""a sip of cognac"", ""dried corn husks.""]",[],[],https://www.luvmilk.com/store/p187/Radiant_Kitten_-_All_Products.html
Fairy Dust,"If you happened upon a Fairy's stash of their magical dust, surely it would smell as sugary sweet as this.",https://www.luvmilk.com/uploads/9/0/3/1/90317537/s230667561221405490_p46_i3_w640.jpeg,luvmilk,"[""sugary strawberry"", ""vanilla"", ""sweet cotton candy.""]",[],[],https://www.luvmilk.com/store/p46/Fairy_Dust_-_All_Products.html
Lamb Melody,Defualt Colour: Pink,https://www.luvmilk.com/uploads/9/0/3/1/90317537/s230667561221405490_p169_i4_w640.jpeg,luvmilk,"[""earl grey tea"", ""turkish rose petals"", ""condensed milk"", ""a squeeze of honey.""]",[],[],https://www.luvmilk.com/store/p169/Lamb_Melody_-_All_Products.html
Moon Milk,"Moon Milk is a rich and creamy vanilla scent with warm, crisp waffle cone notes that will leave you and everyone else craving a sweet treat.",https://www.luvmilk.com/uploads/9/0/3/1/90317537/s230667561221405490_p151_i1_w640.jpeg,luvmilk,"[""creamy vanilla cake"", ""ice cream with a crispy cinnamon waffle cone.""]",[],[],https://www.luvmilk.com/store/p151/Moon_Milk_-_All_Products.html
Magical Girl,"Whether after a long night of fighting evil or a long day of winning love, every Magical Girl deserves to take a relaxing and simply sweet bath--and what Magical Girl doesn't dream of a bath in marshmallows? Don't worry about your secret identities being compromised, though, my lips are sealed.",https://www.luvmilk.com/uploads/9/0/3/1/90317537/s230667561221405490_p61_i7_w640.jpeg,luvmilk,"[""sweet"", ""toasted marshmallow.""]",[],[],https://www.luvmilk.com/store/p61/Magical_Girl_-_All_Products.html
Festival Days,"*Milky's Note: Festival Days is a fun, fizzy scent. This one is extremely sweet and sugary and shouldn't be passed up for its uniqueness. On me this is very effervescent, with hints of lemon-lime and an abundance of sweet powdery sugar. The strawberry is very faint but adds a 'berry'ness to the overall scent.",https://www.luvmilk.com/uploads/9/0/3/1/90317537/s230667561221405490_p183_i3_w640.jpeg,luvmilk,"[""ramune"", ""strawberry pocky"", ""konbini dessert cakes"", ""rock candy.""]",[],[],https://www.luvmilk.com/store/p183/Festival_Days_-_All_Products.html
Festival Nights,This scent was created for Beast as a pair to Festival Days. The two are meant to evoke both the days and nights of the warm summer time where festivals are common in Japan.,https://www.luvmilk.com/uploads/9/0/3/1/90317537/s230667561221405490_p261_i1_w1080.jpeg?width=640,luvmilk,"[""melon kakigori"", ""dango drizzled with mizuame"", ""wataame"", ""fireworks in the distance.""]",[],[],https://www.luvmilk.com/store/p261/Festival_Nights_-_All_Products.html
Angel Blood,"When angel's bleed their golden ichor surely it must have scent... perhaps to some the scent may be a profound and unknowable scent but at least here, this angel's blood smells like bananas.",https://www.luvmilk.com/uploads/9/0/3/1/90317537/s230667561221405490_p180_i2_w640.jpeg,luvmilk,"[""mashed bananas"", ""fluffy vanilla cake"", ""a drizzle of caramel"", ""condensed milk"", ""the softest hints of peach"", ""pineapple.""]",[],[],https://www.luvmilk.com/store/p180/Angel_Blood_-_All_Products.html
Bubble Tea Sprites,This scent was originally exclusive to a Poesie Perfume limited edition Box based on Studio Ghibli works.,https://www.luvmilk.com/uploads/9/0/3/1/90317537/s230667561221405490_p312_i3_w1080.jpeg?width=640,luvmilk,"[""honeydew"", ""strawberry"", ""white rabbit taffies with taro bubble tea.""]",[],[],https://www.luvmilk.com/store/p312/Bubble_Tea_Sprites_-_All_Products.html
Doll Parts,"This doll made up of various parts is a lover of rainy days, crossword puzzles, and the escape of fantasy worlds inside of books. If you're ever unsure where to find this doll, the best bet is to check a cozy little nook where one could easily get lost in their own mind. Don't worry, this doll and all their parts isn't haunted.",https://www.luvmilk.com/uploads/9/0/3/1/90317537/s230667561221405490_p208_i6_w1080.jpeg?width=640,luvmilk,"[""rich madagascar\u00a0vanilla bean"", ""creamy french vanilla"", ""hazelnuts"", ""spoonfuls of brown sugar"", ""delicately sugared orchid petals.""]",[],[],https://www.luvmilk.com/store/p208/Doll_Parts_-_All_Products.html
Dream Eater,What would dreams taste like if you could eat them? Hopefully just like this.,https://www.luvmilk.com/uploads/9/0/3/1/90317537/s230667561221405490_p225_i39_w1080.jpeg?width=640,luvmilk,"[""freshly baked bread with a warm vanilla drizzle"", ""fat sugar crystals sprinkled on top"", ""hints of creamy coconut"", ""faint whiffs of cedar"", ""moss.""]",[],[],https://www.luvmilk.com/store/p225/Dream_Eater_-_All_Products.html
