name,description,image,notes,perfumeHouse,url
White Tiger,"If your favorite school folder featured the piercing gaze and rainbow stripes of a white tiger, we know you’ll love this perfume for its tropical vibes that let you pretend you are a world traveler ad...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/71752c95-16da-4655-9e24-e20a15ba0595/white+tiger+.png?format=750w,"[""jungle leaves bejeweled with monsoon rain"", ""cardamom"", ""white patchouli""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/white-tiger
White Rabbit,"Oh my ears and whiskers, you’re going to love this one! Citrusy, fresh, and guaranteed to put a spring in your step, the White Rabbit is an uncommon and appealing sort of scent, just like its namesake...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/e4055aff-e037-41bb-af0e-dd43bdc5b787/white+rabbit.png?format=750w,"[""fluffy white fur musk"", ""kumquat marmalade"", ""lacy carrot flower"", ""a wisp of hay and sweet fennel""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/white-rabbit
We're All Mad Here,"Deep, unique, and a little spicy, much like its inspiration- the Cheshire Cat. We think this fragrance smells like purple and magic and mystery. Wear this when you’re feeling not all there yourself, w...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/359f0a41-7537-4938-8742-7f18a0da3e8c/we%27re+all+mad+here+%281%29.png?format=750w,"[""boysenberry"", ""black peppercorn essential oil"", ""swirls of vanilla buttercream frosting"", ""soft fur musk"", ""smoked tonka bean""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/were-all-mad-here
Sucre Vanille,Indulge with the scent of sweet sugar and rich vanilla bean. Sometimes life’s simplest pleasures are the best.,https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/1b781a9f-7ee3-4b8c-8d47-403158c4142a/sucre+vanille.png?format=750w,"[""sparkling white sugar laced with vanilla bean""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/sucre-vanille
Strawberry Fields For Emma 2 ml,"“‘Come, and eat my strawberries. They are ripening fast.’If Mr. Knightley did not begin seriously, he was obliged to proceed so, for his proposal was caught at with delight; and the ‘Oh! I should like...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/635fc1f1-fe89-4cac-bacf-1d59fcc1eb04/strawberry+fields+for+emma+%281%29.png?format=750w,"[""earthy green oakmoss"", ""wild strawberries"", ""Italian bergamot"", ""lily of the valley"", ""galbanum""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/strawberry-fields-for-emma
Strange Unearthly Thing,"“You-- you strange, you almost unearthly thing!--I love as my own flesh. You--poor and obscure, and small and plain as you are--I entreat to accept me as a husband.” — Jane Eyre",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/0c564771-c61f-4479-b411-406a01845222/strange+unearthly+thing.png?format=750w,"[""moss and ivy entwined"", ""an overturned log studded with tiny mushrooms"", ""one ripe peach"", ""a circle of fairy flowers"", ""white amber""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/strange-unearthly-thing
Rainbow Unicorn Sky,"Sometimes middle school, like Life, can be challenging. And when life gets challenging, we say channel your inner unicorn standing in front of a rainbow in a magical, physics-defying meadow/pond, whil...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/037b53ca-22bf-4666-ba91-312ffa374ce8/rainbow+unicorn+sky++%281%29.png?format=750w,"[""apple blossom"", ""cotton candy"", ""sunshine"", ""white unicorn musk""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/rainbow-unicorn-sky
Queen Bee,"You hold court in a light dappled meadow ringed by trees. Your throne is made of twisted, ancient branches, and warm golden sunlight always seems to shine around you. The buzzing fuzzy bees, the singi...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/df4974f8-988a-4124-bfd1-6dab1ae1e2d7/queen+bee.png?format=750w,"[""fizzy champagne"", ""pears drizzled in vanilla-infused golden honey"", ""white musk""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/queen-bee
Puppy Love,"An ode to the first crush, when the height of romance was sharing a sundae and a hand brushing yours could make you giddy. You doodled variations of their name and yours in the margins of your schoolw...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/c370cf4f-efaf-4f78-a7c5-f48c4ca0d179/puppy+love+.png?format=750w,"[""two scoops of cherry ice cream"", ""whipped cream"", ""waffle cone"", ""caramel woods""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/puppy-love
Peach Tiara,"In a swirl of floaty organza dresses and petticoats, you and your friends lounge on a massive picnic blanket littered with pillows, surrounded by a dream of a summer garden. You’ve already eaten the d...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/94825572-acd8-4be5-a225-14e2b0374178/peach+tiara.png?format=750w,"[""peach iced tea"", ""honeysuckle"", ""sun warmed skin"", ""and crisp white petticoats""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/peach-tiara
