name,description,image,perfumeHouse,openNotes,heartNotes,baseNotes,detailURL
Rococo Pie,Gilded secrets and confections linger under Venice skies.,"https://static.wixstatic.com/media/20a6f8_ae457145f00446f9b17b7b94019dee51~mv2.jpg/v1/fill/w_800,h_800,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/file.jpg",Sarah Baker,"[""in three words: mysterious"", ""filigree"", ""pie notes: peach pie"", ""tangerine zest"", ""coconut"", ""walnut"", ""jasmine"", ""amber"", ""sandalwood"", ""milky notes"", ""vanilla ice cream"", ""musk""]",[],[],https://www.sarahbakerperfumes.shop/product-page/rococo-pie
Pastel Rumours,"It's a rainbow!' The Perfume Guy Customers Say'Very nice scent, a realistic peach and a very nice drydown.","https://static.wixstatic.com/media/20a6f8_46ec1fe3950c4be9ba84b6c7ee960207~mv2.jpg/v1/fill/w_800,h_800,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/file.jpg",Sarah Baker,"[""in three words: dreamy"", ""fruity"", ""milky notes: peach"", ""fruit loops"", ""milk"", ""ginger"", ""cardamom"", ""caramel"", ""orris"", ""custard cream"", ""vanilla"", ""musks""]",[],[],https://www.sarahbakerperfumes.shop/product-page/pastel-rumours
Prism Head,My favorite fragrance by Miguel Matos.,"https://static.wixstatic.com/media/20a6f8_0740ee0b61904edc9cffcc94d4c631cd~mv2.jpg/v1/fill/w_800,h_800,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/file.jpg",Sarah Baker,"[""in three words: dank"", ""expanse"", ""dig notes: mushrooms"", ""cannabis"", ""lemon"", ""geosmin"", ""musk"", ""costus"", ""vetiver"", ""incense"", ""patchouli""]",[],[],https://www.sarahbakerperfumes.shop/product-page/prism-head
Peach's Revenge,Holy shit!' -Strong Style Fragrances on TikTok “I sampled this beautiful scent last week at Esxence and I absolutely love it! It’s so summery and bright with this sweet peach note softened by the vanilla and guava.,"https://static.wixstatic.com/media/56afe2_315904d0026545d1b4b3a2d108e799da~mv2.jpg/v1/fill/w_800,h_800,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/file.jpg",Sarah Baker,"[""in three words: juicy"", ""spiced"", ""salacious notes: peach"", ""guava"", ""nectarine"", ""amaretto"", ""orris"", ""cardamom"", ""ginger"", ""cinnamon"", ""bark"", ""amber"", ""vanilla"", ""caramel"", ""musks""]",[],[],https://www.sarahbakerperfumes.shop/product-page/peach-revenge
Tartan Cask,Online Exclusive - Limited Edition,"https://static.wixstatic.com/media/56afe2_886cba30c0074431bbbe9e163ad4b9bd~mv2.jpg/v1/fill/w_800,h_800,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/file.jpg",Sarah Baker,"[""in three words: warming"", ""autumnal"", ""smoky notes: peaty whisky"", ""smoke"", ""cedar"", ""moss"", ""bread"", ""leather"", ""hops"", ""tobacco"", ""buddha wood"", ""labdanum"", ""heather""]",[],[],https://www.sarahbakerperfumes.shop/product-page/tartan-cask
Riders,"Experts Say'Leather and a politely animalic musk make for a beautiful ride through the core of this scent, perhaps the most appealing equine-inspired perfume I’ve yet worn.","https://static.wixstatic.com/media/56afe2_e94227ec6b5c404a949fbbe454b58fb3~mv2.jpg/v1/fill/w_800,h_800,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/file.jpg",Sarah Baker,"[""in three words: green"", ""country life"", ""equestrian notes: grass"", ""peach"", ""bergamot"", ""lily of the valley"", ""hay"", ""leather"", ""metal tack"", ""vetiver"", ""amber"", ""musk"", ""fir"", ""tobacco""]",[],[],https://www.sarahbakerperfumes.shop/product-page/riders
Gold Spot,"Why be a star when you can be a legend? NotesIn three words: luxe, celebrity, bonbon Notes : bergamot, petitgrain, cypriol, orange blossom, butterscotch, Laos oud, Suyufi agarwood, dark chocolate, sweet myrrh, musk, amber, vanilla Nose: Chris Maurice - The Art + Olfaction Awards 2023 recognised Gold Spot with an Honorable Mention - ÇaFleureBon gave Gold Spot a Best of Scent Award 2023 Experts Say'The butterscotch adds a really beautiful sweet layer to it.","https://static.wixstatic.com/media/56afe2_03be7bb44c8a4b408f8e09361a4774d9~mv2.jpg/v1/fill/w_800,h_800,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/file.jpg",Sarah Baker,"[""of butterscotch and sweet myrrh bathe darker tones of oud"", ""cacao and cypriol in gilded indulgence""]",[],[],https://www.sarahbakerperfumes.shop/product-page/gold-spot
Atlante,"” Glenn Davis, Instagram reviewer, @mrcologne76 “Atlante is one of the best and most unique oceanic fragrances I have ever smelled.","https://static.wixstatic.com/media/56afe2_a28ea09305a04195a29f7a78da677532~mv2.jpg/v1/fill/w_800,h_800,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/file.jpg",Sarah Baker,"[""atlante was a finalist for the 2019 art + olfaction awards in three words: salty"", ""beach"", ""shimmering notes: yuzu"", ""seaweed"", ""iris"", ""lily of the valley"", ""pink pepper"", ""wet rock"", ""cedar"", ""ambergris"", ""seashells"", ""driftwood""]",[],[],https://www.sarahbakerperfumes.shop/product-page/atlante
Flame & Fortune,"' Maurice Ackerman, USA, ordered Flame & Fortune, 50ml 'Excellent! Never would I have thought that I would wear a scent with Motor Oil as one of the notes.","https://static.wixstatic.com/media/56afe2_5a2a351030d940d2af69fd5b0331b400~mv2.jpg/v1/fill/w_800,h_800,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/file.jpg",Sarah Baker,"[""in three words: badass"", ""desert"", ""treasure notes: orange blossom"", ""pink pepper"", ""apricot"", ""ginger"", ""lily of the valley"", ""tuberose"", ""motor"", ""labdanum"", ""mezcal"", ""embers""]",[],[],https://www.sarahbakerperfumes.shop/product-page/flame-fortune-1
Jungle Jezebel,"NotesIn three words: tropical, bouquet, provocative Notes: orange, banana, grape, peach, bubblegum, rose, tuberose, ylang-ylang, amber, sandalwood, civet, vetiver, vanilla, tonka bean Nose: Miguel Matos Experts say“Jungle Jezebel is a decisive and intelligent composition that borrows cues from high and low scent culture, forcing you to think about contradiction and harmony.","https://static.wixstatic.com/media/56afe2_96e169ac237641dba98cbdb731e9c4a3~mv2.jpg/v1/fill/w_800,h_800,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/file.jpg",Sarah Baker,"[""in three words: tropical"", ""bouquet"", ""provocative notes: orange"", ""banana"", ""grape"", ""peach"", ""bubblegum"", ""rose"", ""tuberose"", ""ylang-ylang"", ""amber"", ""sandalwood"", ""civet"", ""vetiver"", ""vanilla"", ""tonka bean""]",[],[],https://www.sarahbakerperfumes.shop/product-page/jungle-jezebel-sun
