name,description,image,perfumeHouse,openNotes,heartNotes,baseNotes,product_url
Plum in Cognac,"Brimming with notes of caramel and tobacco, this fragrance is perfect for those that want to leap out of their comfort zone. Cinnamon and Nutmeg further intensify the smokey intensity of the gourmand pairing, creating an addictive aroma that envelopes the senses and whisks you away on a seductive adventure for the soul.",https://scentsofwood.com/cdn/shop/files/PLUMINCOGNACCharcoal_Black_24e7a437-963d-41fd-a7f9-90ef175d578e_2000x.png?v=1745357129,Scents of Wood,"[""rum absolute"", ""purple plum flavor"", ""cinnamon bark"", ""peru balsam"", ""osmanthus"", ""immortelle"", ""vetiver haiti"", ""vanilla"", ""cistus""]",[],[],https://scentsofwood.com/collections/fragrances/products/plum-in-cognac
Sandalwood in Oak,The purity of Sandalwood rises through this gorgeous scent and emerges from the background to transcend and empower the olfactory experience.,https://scentsofwood.com/cdn/shop/files/SANDALWOODINOAKIvory_Gold_2000x.png?v=1745355470,Scents of Wood,"[""burnt sugar"", ""smoked sage"", ""pink pepper"", ""guaiacwood"", ""olibanum"", ""iris root"", ""sandalwood lrm"", ""vanilla"", ""musk""]",[],[],https://scentsofwood.com/collections/fragrances/products/sandalwood-in-oak
Praline in Maple,"Rich, smoky syrup and candied woods collide in this addictive fragrance, blending the golden sweetness of maple with the deep mystery of the forest. Cedarwood Atlas lends an earthy, leathery warmth, touched with balsamic sweetness, while Peru Balsam weaves in decadent notes of vanilla, chocolate, and a whisper of white florals.",https://scentsofwood.com/cdn/shop/files/PralineinMapleDarkChocolate_Gold_50682730-d9b3-4a4b-9b92-45a64f45f4f0_2000x.png?v=1745437867,Scents of Wood,"[""black pepper"", ""pink pepper"", ""clove bud"", ""roasted praline chestnut accord"", ""peru balsam"", ""olibanum"", ""cedarwood atlas"", ""guaiacwood"", ""patchouli indonesia""]",[],[],https://scentsofwood.com/collections/fragrances/products/praline-in-maple
Vanilla in Bourbon,"Exotic yet nostalgic, Vanilla enchants with its addictively rich sweetness, wrapping the senses in warmth and comfort. Its deep, long-lasting aroma carries an undeniable sensuality, lingering like a whisper of temptation.",https://scentsofwood.com/cdn/shop/files/VanillainBourbonIvory_Gold_2000x.png?v=1745261639,Scents of Wood,"[""lemon zest"", ""cardamom"", ""cinnamon bark"", ""myrrh"", ""gurjun alatus balsam"", ""ambreine"", ""vanilla bean"", ""guaiacwood"", ""olibanum""]",[],[],https://scentsofwood.com/collections/fragrances/products/vanilla-in-bourbon
Joshua in Glow,"Desert ReverieAs the sun begins to sink behind the horizon, the desert transforms into a sanctuary of stillness and light. This fragrance captures that fleeting moment, when the heat fades and the air cools with the scent of dewy greens. Cascalone and aquatic florals shimmer like mirages, lending a refreshing clarity that mimics the first breath of twilight across the vast open landscape.",https://scentsofwood.com/cdn/shop/files/Joshua_in_Glow_75ml_2000x.webp?v=1750191701,Scents of Wood,"[""dewy greens accord"", ""jasmine"", ""cypriol"", ""aquatic florals"", ""ambergris"", ""joshua tree accord"", ""cedarwood"", ""vanilla"", ""cistus""]",[],[],https://scentsofwood.com/collections/fragrances/products/joshua-in-glow
Evergreen in Snow,"Silent AwakeningStep into the quiet majesty of Utah’s Rocky Mountains, where winter begins to surrender to spring. Inspired by forests still dusted in snow, this fragrance captures the peaceful beauty of nature’s seasonal shift. A blend of crisp greens and lush citrus evokes the first signs of life beneath the frost, stirring the senses with clarity and calm.",https://scentsofwood.com/cdn/shop/files/EvergreeninSnow75ml_2000x.webp?v=1750191856,Scents of Wood,"[""crisp greens"", ""lush citrus"", ""snow accord"", ""limber pine natureprint"", ""iced florals"", ""amber"", ""cedarwood"", ""sandalwood"", ""dry woods""]",[],[],https://scentsofwood.com/collections/fragrances/products/evergreen-in-snow
Spruce in Mist,"Ancient and AliveSpruce in Mist captures the mystical power of the Tree of Life, a natural wonder nestled in Olympic National Park. Inspired by this breathtaking symbol of resilience, the fragrance transports you to a forest veiled in morning mist. It begins with the crisp brightness of bergamot and ginger, lifted by green flashes of tarragon and cooling mint that evoke the quiet vitality of dawn.",https://scentsofwood.com/cdn/shop/files/SpruceinMist_2000x.webp?v=1750191881,Scents of Wood,"[""ginger"", ""bergamot"", ""tree of life natureprint"", ""cedarwood atlas"", ""cistus"", ""guaiacwood"", ""vetiver"", ""patchouli"", ""tonka""]",[],[],https://scentsofwood.com/collections/fragrances/products/spruce-in-mist
Calm in Cedar,"Created in collaboration with ScentBird, this medley of warm, cocooning notes is designed to activate neural pathways, helping you feel both relaxed and refreshed. Comforting cedarwood, Ambertonic, and Tonka Bean carry you to a serene lakeside retreat, where towering trees and soft clouds are reflected on the water’s surface.",https://scentsofwood.com/cdn/shop/files/Screenshot2024-06-26at8.07.27AM_2000x.png?v=1719410862,Scents of Wood,[],[],[],https://scentsofwood.com/collections/fragrances/products/calm-in-cedar
Strength in Santal,"Created in collaboration with ScentBird, this grounding blend is designed to activate neural pathways, making you feel more empowered, energized, and confident. Transport yourself to a cathedral of towering trees with the warmth of sandalwood, cardamom, musk, and amber, while aquatic notes evoke the image of a distant, serene lake.",https://scentsofwood.com/cdn/shop/files/Screenshot2024-06-26at8.08.50AM_2000x.png?v=1719410957,Scents of Wood,[],[],[],https://scentsofwood.com/collections/fragrances/products/strength-in-santal
Plum in Cognac Vintage 24,"Plum in Cognac 2024 is the result of a situation that we did not envision when we came up with the idea of aging our fragrance’s alcohol in wooden barrels.After 3 or 4 cycles of aging alcohol in them, barrels get exhausted.",https://scentsofwood.com/cdn/shop/files/Screenshot2024-11-26at2.29.49PM_2000x.png?v=1732656597,Scents of Wood,"[""broom absolute italy"", ""cinnamon bark"", ""immortelle absolute balkans"", ""osmanthus absolute"", ""peru balsam fairwild"", ""vetiver haiti"", ""vanilla bean"", ""vetiver concentrate""]",[],[],https://scentsofwood.com/collections/fragrances/products/plum-in-cognac-vintage-24
