name,description,image,notes,perfumeHouse,detailURL
Gertrude,"Holy basil, chrysanthemum accord, driftwood, frankincense, and haircloth.",https://images.squarespace-cdn.com/content/v1/5acd1bceaf209683d982e77d/1584254495857-5235TQ8T9ZCW9XK7L47O/gertrude33.jpg,"[""holy basil"", ""chrysanthemum accord"", ""driftwood"", ""frankincense"", ""haircloth""]",The Strange South,https://www.strange-south.com/general-catalog/gertrude
Concrete Angel,"Cypress, magnolia, water lily, potted fern, tulip, warm red dirt, and damp headstones.",https://images.squarespace-cdn.com/content/v1/5acd1bceaf209683d982e77d/1524996505596-TCI1SUGYBXG5J3CTIDXT/concreteangel-bw-mar2018.jpg,"[""cypress"", ""magnolia"", ""water lily"", ""potted fern"", ""tulip"", ""warm red dirt"", ""damp headstones""]",The Strange South,https://www.strange-south.com/general-catalog/concrete-angel
"If You're Reading This, Get A Hobby","Hibiscus and orange blossom petals, Cuban tobacco smoke, copal, coconut, patchouli, and palo santo carried by a sea breeze.",https://images.squarespace-cdn.com/content/v1/5acd1bceaf209683d982e77d/1525030831093-J53NOJ9FGRBO2RZ75J14/getahobby-willcox-fl.jpg,"[""hibiscus"", ""orange blossom petals"", ""cuban tobacco smoke"", ""copal"", ""coconut"", ""patchouli"", ""palo santo carried by a sea breeze""]",The Strange South,https://www.strange-south.com/general-catalog/if-youre-reading-this-get-a-hobby
Mama,"Dandelions, iced tea, gingersnap crumbs and jam fingerprints on a little lost girl's cotton dress.",https://images.squarespace-cdn.com/content/v1/5acd1bceaf209683d982e77d/1524996824846-P32AG6582S8IKJLLHNVQ/mama-bw-mar2018.jpg,"[""dandelions"", ""iced tea"", ""gingersnap crumbs"", ""jam fingerprints on a little lost girl's cotton dress""]",The Strange South,https://www.strange-south.com/general-catalog/mama
Begotten,"Cracked earth, mandarin peel, marigold, pistachio, and willow leaf.",https://images.squarespace-cdn.com/content/v1/5acd1bceaf209683d982e77d/1523858393819-3WO56ONQMCHWGQIRBTPU/begotten-bw-mar2018.jpg,"[""cracked earth"", ""mandarin peel"", ""marigold"", ""pistachio"", ""willow leaf""]",The Strange South,https://www.strange-south.com/general-catalog/begotten
The Family Plot,"Honeysuckle, carnation, pink peppercorn, dirt and kudzu leaf, dusty mahogany, and blood accord.",https://images.squarespace-cdn.com/content/v1/5acd1bceaf209683d982e77d/1533100429326-HO6Q086RIE9E58XHZ1RR/the-family-plot.jpg,"[""honeysuckle"", ""carnation"", ""pink peppercorn"", ""dirt"", ""kudzu leaf"", ""dusty mahogany"", ""blood accord""]",The Strange South,https://www.strange-south.com/general-catalog/the-family-plot
Black Cat Oil,"Our interpretation of a classic good luck charm:A tincture of bay leaves, sage, three catnip leaves, opoponax, Himalayan sea salt, and iron nails, with honey (vegan), patchouli, tuberose, orchid, clover, cinnamon, and skin musk.",https://images.squarespace-cdn.com/content/v1/5acd1bceaf209683d982e77d/1529041996243-6NDSL00RXSMROP7794DE/black-cat-oil-bw.jpg,"[""a tincture of bay leaves"", ""sage"", ""three catnip leaves"", ""opoponax"", ""himalayan sea salt"", ""iron nails"", ""with honey vegan"", ""patchouli"", ""tuberose"", ""orchid"", ""clover"", ""cinnamon"", ""skin musk""]",The Strange South,https://www.strange-south.com/general-catalog/black-cat-oil
Lavage de Autos,"Wax, motor oil, cement, soap suds, and a splash of white musk.",https://images.squarespace-cdn.com/content/v1/5acd1bceaf209683d982e77d/1574210184664-JCP6UMERPTJOJNKIV3S9/lavage-de-autos.jpg,"[""wax"", ""motor oil"", ""cement"", ""soap suds"", ""a splash of white musk""]",The Strange South,https://www.strange-south.com/general-catalog/lavage-de-autos
Devil at the Crossroads,"Twisted, charred oak trees and snapped pines, leather, pimento, mandarin, dragon's blood, brimstone, and bourbon.",https://images.squarespace-cdn.com/content/v1/5acd1bceaf209683d982e77d/1524985077639-JYC092GP6LQRLC6NHVI0/thedevil.jpg,"[""twisted"", ""charred oak trees"", ""snapped pines"", ""leather"", ""pimento"", ""mandarin"", ""dragon's blood"", ""brimstone"", ""bourbon""]",The Strange South,https://www.strange-south.com/general-catalog/devil-at-the-crossroads
Heat Lightning,"Coconut, hazelnut, clove, night blooming flowers, benzoin, and humidity trapped under a tin roof.",https://images.squarespace-cdn.com/content/v1/5acd1bceaf209683d982e77d/1525030672697-9MGBH3ZGO6GV6B5HGK18/oak-shattered.jpg,"[""coconut"", ""hazelnut"", ""clove"", ""night blooming flowers"", ""benzoin"", ""humidity trapped under a tin roof""]",The Strange South,https://www.strange-south.com/general-catalog/heat-lightning
