name,description,image,perfumeHouse,openNotes,heartNotes,baseNotes,detailURL
Borelli,"BorelliExtrait de Parfum 100 mlCollection:Tiziana Terenzi, CometTiziana and Paolo’s intergalactic journey to discover the celestial emotions produced by magical
stellar fires continues.",https://terenziboutique.com/wp-content/uploads/2023/05/TTPROF_ELLI_A-1-600x635.jpg,Tiziana Terenzi,"[""rose"", ""lily"", ""violet"", ""tuberose"", ""ylang ylang"", ""lily of the valley"", ""bergamot"", ""mandarin"", ""sandalwood"", ""ebony"", ""birch"", ""musk""]","[""rose"", ""lily"", ""violet"", ""tuberose"", ""ylang ylang"", ""lily of the valley"", ""sandalwood"", ""ebony"", ""birch"", ""musk""]","[""sandalwood"", ""ebony"", ""birch"", ""musk""]",https://terenziboutique.com/en/product/borelli/
Vele,"VeleExtrait de Parfum 100 mlCollection:Tiziana Terenzi, LunaThis work was inspired by the discovery of a Constellation, that of the Vela, visible from a faraway country, on the other side of the Atlantic Ocean, in the southern hemisphere.
It tells the tale of a land that appears exotic and mysterious in the eyes of two children who, for the very first time, prepared to face a long, adventurous journey.",https://terenziboutique.com/wp-content/uploads/2020/06/TTPROF_VEL_A-600x635.jpg,Tiziana Terenzi,"[""rose"", ""jasmine"", ""amber"", ""musk"", ""fig"", ""leaves""]","[""rose"", ""jasmine"", ""amber"", ""musk""]","[""amber"", ""musk""]",https://terenziboutique.com/en/product/vele/
Akragas,"AkragasExtrait de Parfum 100 mlCollection:Classica Black, Tiziana TerenziThis creation was created as a result of the emotional inspiration gained during a long trip to Italy, in search of the scent of salt and its infinite facets.
The Bel Paese is surrounded by the sea, rich in precious salt, and this element has always aided the development of civilisations.
Salt has many facets and is not only obtained from seawater evaporation, but is also extracted from the famous salt pans, which Sicily has in abundance.
Akragas was the ancient name for what is now Agrigento, a very famous city in southern Sicily, known for its enchanting natural beauty and the beautiful Valley of the Temples, a priceless heritage site that has been admired since the days of Magna Graecia and has been impeccably preserved to this day.
The Greek poet Pindar called Agrakas the 'most beautiful city in the world' and this breathtaking beauty is the inspiration for this creation.
In its lengthy history, Agrigento has been influenced by various peoples, from the Magna Graecia to the Carthaginians, from the Arabs to the Normans, bringing together all the cultural facets able to coexist in peace and harmony, offering a beauty that teaches us all.
Akragas seeks to portray the beauty of this crossroads of cultures and wonders through the salt of its most famous quarry, surrounded by Mediterranean scrub and enchanting landscapes.
The creation opens with a pungent bouquet that immediately evokes the Mediterranean maquis, where we perceive Sicilian Myrtle and Mediterranean Seaweed, intensely embraced by the citrus fruits typical of the island, dominated by Royal Grapefruit and the unmistakable persuasiveness of Neroli.
This top note rests on a heart note as strong as the Sicilian land, robust and generous, where Agrigento Salt is the dominant and reverberating note, emphasised by Atlas Cedar, strongly scented by Red Thyme and Bulgarian Geranium.
The entire creation is founded on a powerful and aromatic base, capable of echoing the breezes of the Sicilian sea, thanks to Benzoin driven by Musk, in counterpoint to Singapore Patchouli and Madagascar Vanilla Berries.
The spirit of the wonder of the Agrigento region, in a drop of salty, fascinating perfume.More informationLess informationOlfactory PyramidTop Notes:Sicilian Myrtle, Mediterranean Seaweed, Grapefruit & Sicilian NeroliHeart Notes:Sicilian Salt, Atlas Cedar, Red Thyme & Bulgarian GeraniumBase Notes:Musk, Benzoin, Patchouli from Singapore & Madagascar Vanilla BerriesIngredientsIngredienti/Ingredients: Alcohol Denat., Parfum (Fragrance), Benzyl Salicylate, Coumarin, Hexyl Cinnamal, Citronellol, Linalool, Geraniol, Limonene, Alpha-Isomethyl Ionone, Citral, Benzyl Benzoate, Benzyl Alcohol, Eugenol, Benzyl Cinnamate, Farnesol, Anise AlcoholWarningsFlamable.",https://terenziboutique.com/wp-content/uploads/2022/08/TTPROF_AKR_A-6-600x635.jpg,Tiziana Terenzi,"[""neroli"", ""geranium"", ""grapefruit"", ""cedar"", ""patchouli"", ""benzoin"", ""musk"", ""vanilla"", ""thyme"", ""seaweed""]","[""geranium"", ""cedar"", ""patchouli"", ""benzoin"", ""musk"", ""vanilla"", ""thyme""]","[""patchouli"", ""benzoin"", ""musk"", ""vanilla""]",https://terenziboutique.com/en/product/akragas/
Lillipur,"LillipurExtrait de Parfum 100 mlCollection:Classica Gold, Tiziana TerenziOne stop in this journey was Nepal, in search of a more intimate and solitary spirituality in an ancient capital renowned for its marvellous, mystical, higher state of being.",https://terenziboutique.com/wp-content/uploads/2020/06/TTPROF_LIL_A-600x635.jpg,Tiziana Terenzi,"[""carnation"", ""cyclamen"", ""lemon"", ""cedar"", ""patchouli"", ""birch"", ""cinnamon"", ""pepper"", ""amber"", ""benzoin"", ""frankincense"", ""musk"", ""tonka bean"", ""thyme""]","[""carnation"", ""cyclamen"", ""cedar"", ""patchouli"", ""birch"", ""cinnamon"", ""pepper"", ""amber"", ""benzoin"", ""musk"", ""tonka bean"", ""thyme""]","[""cedar"", ""patchouli"", ""birch"", ""amber"", ""benzoin"", ""musk"", ""tonka bean""]",https://terenziboutique.com/en/product/lillipur/
Mirach,"MirachAttar 13 mlCollection:Tiziana Terenzi, Luna Star AttarMirach is one of the most famous stars of the constellation of Andromeda, notably for its incredible dimensions that exceed those of our sun by four times.",https://terenziboutique.com/wp-content/uploads/2020/06/TTATT_MIR_A-600x635.jpg,Tiziana Terenzi,"[""rose"", ""neroli"", ""sandalwood"", ""patchouli"", ""oud"", ""nutmeg"", ""saffron"", ""amber"", ""benzoin"", ""styrax"", ""musk"", ""vanilla""]","[""rose"", ""sandalwood"", ""patchouli"", ""oud"", ""amber"", ""benzoin"", ""styrax"", ""musk"", ""vanilla""]","[""sandalwood"", ""benzoin"", ""styrax"", ""vanilla""]",https://terenziboutique.com/en/product/mirach-2/
Adhil,"AdhilExtrait de Parfum 100 mlCollection:Tiziana Terenzi, AssolutoThe second fragrance of the Assoluto collection is Adhil, famous star of the constellation Andromeda.",https://terenziboutique.com/wp-content/uploads/2020/06/TTASS_ADH_A-600x635.jpg,Tiziana Terenzi,"[""jasmine"", ""sandalwood"", ""amber"", ""vanilla""]","[""jasmine"", ""sandalwood"", ""amber"", ""vanilla""]","[""sandalwood"", ""amber"", ""vanilla""]",https://terenziboutique.com/en/product/adhil/
Afrodite,"AfroditeExtrait de Parfum 100 mlCollection:Anniversari Gold, Tiziana TerenziThe beautiful goddess represents the wild and uncontrollable power of love, passion and seduction, capable of uniting and embracing elements of opposing natures, man and woman, strength and kindness, passion and sweetness.",https://terenziboutique.com/wp-content/uploads/2020/06/TTPROF_AFR_A-600x635.jpg,Tiziana Terenzi,"[""lily"", ""iris"", ""tuberose"", ""neroli"", ""lily of the valley"", ""geranium"", ""sandalwood"", ""patchouli"", ""ebony"", ""pepper"", ""pink pepper"", ""amber"", ""musk"", ""vanilla"", ""peach""]","[""lily"", ""iris"", ""tuberose"", ""neroli"", ""lily of the valley"", ""geranium"", ""sandalwood"", ""patchouli"", ""ebony"", ""amber"", ""musk""]","[""sandalwood"", ""patchouli"", ""ebony"", ""amber"", ""musk""]",https://terenziboutique.com/en/product/afrodite/
Eclix,"EclixExtrait de Parfum 100 mlCollection:Luna Special, Tiziana TerenziAt the end of a warm, sun-kissed summer, in the month of September (6 September 1978), Paolo and Tiziana encountered the Black Moon for the very first time.",https://terenziboutique.com/wp-content/uploads/2020/06/TTPROF_ECL_A-600x635.jpg,Tiziana Terenzi,"[""lily"", ""violet"", ""petitgrain""]","[""lily"", ""iris"", ""violet"", ""lemon"", ""petitgrain"", ""sandalwood"", ""cedar"", ""musk""]","[""iris"", ""sandalwood"", ""cedar"", ""musk""]",https://terenziboutique.com/en/product/eclix/
Tyrenum,"TyrenumExtrait de Parfum 100 mlCollection:Classica Gold, Tiziana TerenziThe creation is inspired by the famous city in Puglia now known as Trani, once known as Tyrenum, a land bathed by the sea and lashed by the wind, where for centuries sailors from all over the world have loved to take refuge, captivated by its enchanting beauty.
Paolo and Tiziana's search for the scent of salt continues.",https://terenziboutique.com/wp-content/uploads/2022/08/TTPROF_TYR_A-6-600x635.jpg,Tiziana Terenzi,"[""bergamot"", ""orange"", ""patchouli"", ""cardamom"", ""pepper"", ""black pepper"", ""pink pepper"", ""musk"", ""ambergris"", ""vanilla"", ""caramel"", ""tea"", ""green tea""]","[""patchouli"", ""cardamom"", ""pepper"", ""black pepper"", ""pink pepper"", ""musk"", ""ambergris"", ""vanilla""]","[""patchouli"", ""musk"", ""ambergris"", ""vanilla""]",https://terenziboutique.com/en/product/tyrenum/
Cielo Blu,"Cielo BluExtrait de Parfum 100 mlCollection:Anniversari Black, Tiziana TerenziCielo Blu was created as a tribute to Marco Polo, the legendary explorer who revealed the secrets of the Orient.
It is a celebration of the 700th anniversary of his death, a vivid reminder of a man who opened up new horizons and brought together distant worlds through his extraordinary adventures.
With his indomitable spirit, Marco Polo showed us that the world is a book and he, a tireless reader, pored over each of its pages with wonder and curiosity.
We are indebted to him for the millions of pieces of knowledge he revealed to us through his adventures, but above all through his skilful mastery as an attentive observer and patient listener to others.
His teaching evokes brotherhood and the inclusion of diversities and contrasts; qualities that belong to special, chosen souls, capable of recognising in other strangers a brother or a sister, because all are children of the same Blue Sky, benevolent creator of so many miracles, today encapsulated in a drop of sky!
Cielo Blu evokes the spirituality of the Great Blue, inspired by the most ancient of Chinese deities, symbolising infinity and a love of boundless space.
This fragrance embodies the harmony between man and creation, a perfect balance between the wild and majestic scents of nature.
The fragrance opens with the sunny brightness of Sicilian Grapefruit and Sorrento Lemon, releasing a citrusy freshness that dances with the vibrant spices of Indian Cardamom.
Tuscan Laurel and Italian Rosemary add a herbaceous note that evokes the scent of the Mediterranean coast.
At the heart of Cielo Blu we find gently blossoming Lake Como Lavender  that lends a floral serenity, while Terenzi Oxygen adds an ethereal, celestial freshness.
Tuscan Acacia and Bulgarian Rose come together in a delicate embrace, a sophisticated bouquet that transports the soul to the enchanted gardens of the Orient.
The base notes offer a robust, enveloping foundation of Chinese Oak Wood, injecting depth and strength.
Indian Ambrette Seeds add a balsamic sweetness, while White Musk envelops the fragrance in a soft, velvety caress, echoing the spiritual connection to the vast Blue Sky.
Cielo Blu tells a story of discoveries and connections, making it an ode to the meeting of East and West.",https://terenziboutique.com/wp-content/uploads/2024/09/TTPROF_CIE_A-600x635.jpg,Tiziana Terenzi,"[""rose"", ""lemon"", ""grapefruit"", ""cardamom"", ""rosemary"", ""lavender""]","[""rose"", ""lavender""]",[],https://terenziboutique.com/en/product/cielo-blu/
