name,description,image,perfumeHouse,openNotes,heartNotes,baseNotes,detailURL
Fars,"Inspired by traditional Arab perfume making, Fars is a harmonious blend of East meets West, as crisp Italian bergamot and herbal French lavender blend for a classic oriental scent.
Fars Xerjoff is created from pure oud distillation: this irresistibly luxurious perfume has base notes of patchouli, Haitian vetivers and buaya from Laos, otherwise known as White Oud.
Exquisite, rare and precious, this meditative blend has a peppery heart of Egyptian geranium, sandalwood and jasmine absolute; a unique accord that enchants and entices.",https://www.xerjoff.com/3295-large_default/farsparfum-50ml.jpg,Xerjoff,"[""cade oil"", ""french lavender"", ""italian bergamot""]","[""atlas cedar"", ""egyptian geranium"", ""jasmine absolute""]","[""amber"", ""haitian vetiver"", ""patchouli"", ""sandalwood""]",https://www.xerjoff.com/oud-stars/179-farsparfum-50ml-8033488153434.html
Muse,"Muse is an ode to sensuality.. Fruity and floral, this parfum is a mysterious character and master of its own destiny.. Muse opens to an intoxicating white floral bouquet and leads the nose to a heart of labdanum and jasmine and a sweet, rich base of raspberries and patchouli..",https://www.xerjoff.com/4840-large_default/muse-eau-de-parfum-50ml.jpg,Xerjoff,"[""leather accord"", ""plum"", ""white flowers bouquet""]","[""davana"", ""jasmine"", ""labdanum""]","[""patchouli"", ""amber"", ""benzoin"", ""raspberries""]",https://www.xerjoff.com/xerjoff-vibe-collection/10501-muse-eau-de-parfum-50ml.html
Dama Bianca,"Dama Bianca makes an appearance in Duran Duran's Black Moonlight music video, taken from their new album Danse Macabre.. Chosen for her vintage aura, Dama Bianca features among the timeless glamour and vintage flair of the Victorian era in this music video directed by Jonas Åkerlund.. When you purchase a Dama Bianca perfume, you'll find a unique QR code which will allow you to access exclusive behind-the-scenes content of Sergio Momo with Duran Duran along with the official Black Moonlight music video..",https://www.xerjoff.com/3768-large_default/dama-biancaeau-de-parfum-30ml.jpg,Xerjoff,[],"[""egyptian jasmine""]","[""cedar wood"", ""white musk""]",https://www.xerjoff.com/casamorati/287-dama-biancaeau-de-parfum-30ml-8033488154523.html
Alexandria Ii,"A generous helping of natural silk, whose body structure is similar to that of the skin, is what makes this Alexandria II perfumed body powder so irresistibly smooth.
Symbol of opulence and luxury, the Alexandria II perfumed body powder allows your signature scent to linger for longer on the skin while absorbing moisture and, like the perfume, leaves a scent steeped in history and rich culture.",https://www.xerjoff.com/4068-large_default/alexandria-ii.jpg,Xerjoff,"[""apple"", ""cinnamon"", ""rose wood lavender""]","[""cedar wood""]","[""amber"", ""laotian ouds"", ""musk"", ""sandalwood"", ""vanilla""]",https://www.xerjoff.com/bath-collection/9767-alexandria-ii-8033488156077.html
Irisss,"Crafted using one of the world's most prized perfumery ingredients, Butter of Iris, Irisss is a truly comforting powder fragrance that exudes pure luxury.. Irisss Xerjoff opening with an accord of carnation flowers and bergamot, the stunning heart notes of Butter of Iris and jasmine evoke the sumptuous softness of cashmere.. A blend of Haitian vetiver and cedar wood lend a warming base that comes to life on the skin as time goes by..",https://www.xerjoff.com/3444-large_default/irisssparfum-100ml.jpg,Xerjoff,"[""carnation flowers""]","[""butter of iris"", ""green violette"", ""jasmine"", ""rose absolute""]","[""cedar wood"", ""haitian vetiver"", ""musks"", ""somalia frankincense oil""]",https://www.xerjoff.com/1717-stone-label/390-irisssparfum-100ml-8033488155483.html
Malesia,"Discover Malesia, a deeply sensual tale of exotic, remote lands, peppered with exquisite flora and fauna.. Oriental in character, it opens with the uplifting scent of blossoming Lily of the Valley, taking the wearer to an intoxicating heart of amyris, amber and gurjum balsam.. Inspired by traditional Arab perfume making, Malesia is created from our oud distillation and blends luxury with innovation..",https://www.xerjoff.com/3318-large_default/malesiaparfum-50ml.jpg,Xerjoff,[],"[""amyris amber"", ""gurjum balsam""]","[""labdanum musk"", ""tonka beans"", ""vanilla""]",https://www.xerjoff.com/oud-stars/185-malesiaparfum-50ml-8033488154622.html
Amphorae 16,This product is only available upon request.. Contact our team to place your order.. Amphorae 16 is a seductive fruity floral fusion..,https://www.xerjoff.com/4331-large_default/amphorae-16-attar-oil.jpg,Xerjoff,[],"[""indian jasmine sambac""]","[""haitian vetyver"", ""musk infusion"", ""oud blend of cambodia"", ""udomsai laos""]",https://www.xerjoff.com/amphorae/9892-amphorae-16-attar-oil.html
Torino24,"A scent that evokes the memories that come with the friendly indoor tennis match for Xerjoff’s fourth year as Silver Partner for the Nitto ATP Finals in Turin.. The components that make up the match are captured in the blend, from the rubbery core of the tennis ball that bounces off the indoor court to the wooden tennis racket in hand.. Deliciously enticing, TORINO24 opens floral and fruity with juicy mandarin, mango and plum that fuse with pink lotus absolute and orange blossom..",https://www.xerjoff.com/5175-large_default/torino24-eau-de-parfum-50ml.jpg,Xerjoff,"[""bergamot"", ""mandarin"", ""mango"", ""plum""]","[""orange blossom"", ""pink lotus blossom"", ""styrax""]","[""patchouli"", ""white musk""]",https://www.xerjoff.com/nitto-atp-finals-torino/10560-torino24-eau-de-parfum-50ml.html
Soprano,"Soprano takes the ancestral lore of perfumery to a new dimension.. Oriental and floral in character, it features Calabrian bergamot and freesia top notes with an extraordinary heart of Bulgarian rose and Osmanthus.. Agarwood and patchouli at the base entice the nose in deeper..",https://www.xerjoff.com/4879-large_default/soprano-eau-de-parfum-100ml.jpg,Xerjoff,"[""calabrian bergamot"", ""fresia"", ""fruity accord"", ""litchi""]","[""bulgarian rose"", ""egyptian jasmine"", ""milky accord"", ""osmanthus""]","[""patchouli"", ""agarwood""]",https://www.xerjoff.com/xerjoff-vibe-collection/10518-soprano-eau-de-parfum-100ml.html
Lunalovers,"Lively and spirited, LunaLovers evokes the vibrant vibe that is reminiscent of the true beauty that lies in the Caribbean islands.. Alluring tropical beaches, clear waters and captivating sunsets are accompanied by an exotic and exquisite blend of pink grapefruit and white flowers with creamy notes that collide with toasted hazelnut and coconut.. The smoky base of blond tobacco and amber make for an intense and evocative scent the illuminate the senses and the ambiance..",https://www.xerjoff.com/5244-large_default/luna-lovers-candle-750gr.jpg,Xerjoff,"[""cream"", ""pink grapefruit"", ""toasted hazelnut""]","[""night flowers"", ""white flowers""]","[""amber"", ""blond tobacco"", ""coconut"", ""flouve"", ""sandalwood""]",https://www.xerjoff.com/scented-candles-scentimento-collection/10569-luna-lovers-candle-750gr-8054320903789.html
