brand,name,missing_description,missing_notes,row,filename
luvmilk,Bubble Tea Sprites,True,False,1,perfumes_luvmilk.csv
luvmilk,Radiant Kitten,True,False,2,perfumes_luvmilk.csv
luvmilk,Festival Nights,True,False,3,perfumes_luvmilk.csv
luvmilk,Angel Blood,True,False,4,perfumes_luvmilk.csv
luvmilk,Silky Kitten,True,False,5,perfumes_luvmilk.csv
luvmilk,Sapphic,True,False,6,perfumes_luvmilk.csv
luvmilk,Doll Parts,True,False,7,perfumes_luvmilk.csv
luvmilk,Rabbit Cafe,True,False,8,perfumes_luvmilk.csv
luvmilk,Pouty Kitten,True,False,9,perfumes_luvmilk.csv
luvmilk,Magical Girl,True,False,10,perfumes_luvmilk.csv
luvmilk,Festival Days,True,False,11,perfumes_luvmilk.csv
luvmilk,Himbo Hugs,True,False,12,perfumes_luvmilk.csv
luvmilk,Enchanting Blood,True,False,13,perfumes_luvmilk.csv
luvmilk,Moon Dust,True,False,14,perfumes_luvmilk.csv
luvmilk,Dream Eater,True,False,15,perfumes_luvmilk.csv
luvmilk,Fairy Dust,True,False,16,perfumes_luvmilk.csv
luvmilk,Lamb Melody,True,False,17,perfumes_luvmilk.csv
luvmilk,Mermaid Tears,True,False,18,perfumes_luvmilk.csv
luvmilk,Moon Milk,True,False,21,perfumes_luvmilk.csv
luvmilk,Gourmandy Peach,True,False,22,perfumes_luvmilk.csv
luvmilk,Clowning Around,True,False,23,perfumes_luvmilk.csv
poesieperfume,Mystery Bundle,False,True,1,perfumes_poesieperfume_updated.csv
poesieperfume,Mystery Bundles,False,True,2,perfumes_poesieperfume_updated.csv
poesieperfume,Yellow Cake Hand Care Set,False,True,3,perfumes_poesieperfume_updated.csv
