ID,Name,Brand,Missing Fields
cmd2928qm002gob8k0uoefeqx,Complicated Shadows,4160 Tuesdays,"image"
cmg4f47ed04y7obfk2ajr7tjw,Fairies,Disney,"description"
cmd2928uc004wob8knsejnuyz,Hush Hush,4160 Tuesdays,"image"
cmd2928vj005qob8ktx5j8zne,Midnight in the Palace Garden,4160 Tuesdays,"image"
cmd29290o008wob8k82dbon5j,Tokyo Spring Blossom,4160 Tuesdays,"image"
cmd29292i00a4ob8kz4eipman,Recent Releases,4160 Tuesdays,"image"
cmd29293k00akob8kao5l0lmn,The Vault,4160 Tuesdays,"image"
cmd29293c00agob8k7pwlko53,The Waft from the Loft,4160 Tuesdays,"image"
cmg4f4310004lobfk080urn3m,Adidas 3 Extreme Pour Elle,Adidas,"description"
cmg4f4311004nobfks88bjb81,Adidas 3 Frozen,Adidas,"description"
cmg4f43180050obfkwwffmymh,Adidas Deep Energy,Adidas,"description"
cmg4f431g005iobfkozdr0tgv,Adidas Dare,Adidas,"description"
cmg4f4cqi083hobfkf6qugmze,Fresh,John Player Special,"description"
cmg4f431m005oobfkj4q1wmbi,Adidas Classic Blue,Adidas,"description"
cmg4f433a0091obfk3xmli5ee,A87 Cologne,Aeropostale,"description"
cmg4f433j009oobfkoob8a6x5,Brooklyn Calling N Y C,Aeropostale,"description"
cmg4f433l009yobfkp7gjhw8q,Compagnie Generale pour Gar ons,Aeropostale,"description"
cmg4f433i009mobfkaqfchju4,Cloud 9,Aeropostale,"description"
cmg4f433k009sobfk626ouldd,Compagnie Generale pour Filles,Aeropostale,"description"
cmg4f433l009wobfk69r0kwk9,League 87,Aeropostale,"description"
cmg4f433m00a1obfkbyg84dhz,LLD Love Always,Aeropostale,"description"
cmg4f433n00a5obfkuzej1mbz,Prime Platinum,Aeropostale,"description"
cmg4f433o00abobfkm6vtea11,Pier 62,Aeropostale,"description"
cmg4f433p00afobfk3q4miii8,Sugar Rush,Aeropostale,"description"
cmg4f433q00ajobfk5jx6td0z,Tokyo Darling,Aeropostale,"description"
cmg4f434000baobfkc6fgcin8,Candide,Aftelier,"description"
cmg4f434100beobfkmkfg15bq,Cognac,Aftelier,"description"
cmg4f433o00a7obfkq7mng2sc,Maximum,Aeropostale,"description"
cmg4f433q00ahobfk4k4ecp02,Soho Nights,Aeropostale,"description"
cmg4f433x00b2obfkqzxft9yf,Amber,Aftelier,"description"
cmg4f434300buobfke97kmten,Memento,Aftelier,"description"
cmg4f433o00a9obfk8exhb2kt,Prime,Aeropostale,"description"
cmg4f434100bgobfk28m1e14c,Cacao,Aftelier,"description"
cmg4f434200bmobfkhqybgk68,Cepes and Tuberose,Aftelier,"description"
cmg4f434400byobfkwjb8tz1c,Honey Blossom,Aftelier,"description"
cmg4f434500c4obfkhyvtkuyd,Pink Lotus,Aftelier,"description"
cmg4f434800ciobfk3hk366h2,Boronia Single Solid,Aftelier,"description"
cmg4f434a00cqobfkbor2rvbi,Alchemy,Aftelier,"description"
cmg4f434d00cxobfk7q55mcie,3rd Eiger,Ajne,"description"
cmg4f434f00d3obfkpz969q0j,Fir,Aftelier,"description"
cmg4f434g00d8obfku4jhelae,Bella,Ajne,"description"
cmg4f434h00deobfko5c1tbo1,Citron Regenerez Liquid Sunshine,Ajne,"description"
cmg4f434i00dkobfk3q5iin5v,Calypso,Ajne,"description"
cmg4f434j00dqobfk7od7zuop,Desir Desire,Ajne,"description"
cmg4f434k00dwobfk0n2j5szs,Fleur Blanche White Flower,Ajne,"description"
cmg4f434l00e2obfk9vt7yftf,Joie Joy,Ajne,"description"
cmg4f434m00e8obfkvi95zwop,Maternite Epice Spice,Ajne,"description"
cmg4f434n00edobfko5qv4vnp,Nectar,Ajne,"description"
cmg4f434o00eiobfk3u3zqxrw,Nouvel Amour New Love,Ajne,"description"
cmg4f434p00eoobfkwqw35flp,Psyche,Ajne,"description"
cmg4f434q00euobfk5s2bwtzk,Sambac,Ajne,"description"
cmg4f434500c2obfkg3f4rgu8,Parfum de Maroc,Aftelier,"description"
cmg4f434900ckobfkzz7vnpae,Shiso,Aftelier,"description"
cmg4f434600c6obfkqzlcpkm3,Parfum Priv,Aftelier,"description"
cmg4f434900cmobfkppnfhgzz,Jasmine Single,Aftelier,"description"
cmg4f434a00csobfkcum0fmka,Roses,Aftelier,"description"
cmg4f434d00cyobfkvfw8zosg,Wildflowers,Aftelier,"description"
cmg4f434f00d4obfk6itazfhe,Orchid Single,Aftelier,"description"
cmg4f434d00cwobfkqm6c24jh,Parfum Priv Solid,Aftelier,"description"
cmg4f434f00d0obfkhcb95f4a,Adler,Ajne,"description"
cmg4f434g00d6obfkyzyv003h,Adonis,Ajne,"description"
cmg4f434h00dcobfkkstfies8,Calme Calm,Ajne,"description"
cmg4f434h00diobfkctwtf6b9,Divin Divine,Ajne,"description"
cmg4f434i00doobfk90h3d074,CoolBleu Cool Blues,Ajne,"description"
cmg4f434g00daobfkqhn2a0g1,Big Sur,Ajne,"description"
cmg4f434h00dgobfkt8t0zv6h,Bloom de Nuit Night s Bloom,Ajne,"description"
cmg4f434i00dmobfkz17o0nn1,deLavande,Ajne,"description"
cmg4f434j00dsobfkm0jzi7p0,Espoir Hope,Ajne,"description"
cmg4f434k00dyobfklshyxvd0,Houston,Ajne,"description"
cmg4f434l00e4obfk4kaosn7s,Lakshmi,Ajne,"description"
cmg4f434m00eaobfk1ll93hhi,Lucky,Ajne,"description"
cmg4f434n00egobfks7vhmt46,Om,Ajne,"description"
cmg4f434o00emobfkdixqzg18,Printemps Springtime,Ajne,"description"
cmg4f434p00esobfk2wwihl0b,Savannah,Ajne,"description"
cmg4f434r00eyobfkusat2how,Scorpio,Ajne,"description"
cmg4f434w00fgobfk3pj63use,Yuzu,Ajne,"description"
cmg4f434k00duobfk7uyuqmxa,Esprit Spirit,Ajne,"description"
cmg4f434l00e0obfk43ojetgw,Kincaid,Ajne,"description"
cmg4f434m00e7obfk1lspopvp,Lago,Ajne,"description"
cmg4f434n00eeobfk24zohg4w,Maternite Rose,Ajne,"description"
cmg4f434o00ekobfkh8ujqhrj,Passion,Ajne,"description"
cmg4f434p00eqobfkjuc5i6hs,Roshambo,Ajne,"description"
cmg4f434q00ewobfk1yuaus5w,Savoir Knowing,Ajne,"description"
cmg4f434r00f2obfk7qu1sev6,Vanille,Ajne,"description"
cmg4f434r00f0obfk2tljtwpf,Spindrift,Ajne,"description"
cmg4f434u00f8obfkjkf8brzr,Sublime,Ajne,"description"
cmg4f435e00hkobfkcp3ftjap,Red Hibiscus,Aloha Beauty,"description"
cmg4f435d00hiobfkuwfsh4hv,Hawaiian Plumeria,Aloha Beauty,"description"
cmg4f435e00hoobfkg8e7frtz,Island Bougainvillea,Aloha Beauty,"description"
cmg4f435g00i0obfkan5ttdrb,En Fleur,Alyssa Ashley,"description"
cmg4f435i00icobfkk6vr2viz,French Garden Flowers Jasmine,Alyssa Ashley,"description"
cmg4f435k00iuobfkfkg5g9om,Wildflower,Alyssa Ashley,"description"
cmg4f435o00jiobfk91nr2bze,Classic Fragrance,American Crew,"description"
cmg4f435s00k0obfkin6v5wk1,Bohemian,American Eagle,"description"
cmg4f435o00jgobfkgdg9f84n,American Crew Sport,American Crew,"description"
cmg4f435p00jmobfk3xfv3523,Nine,American Crew,"description"
cmg4f4knm0b4fobfk8cactjbe,18 Intense,Perry Ellis,"description"
cmg4f436b00myobfkytp5d5g0,Ancestry,Amway,"description"
cmg4f4m2h0bpiobfkm3eehf85,Parloir,Rebel & Mercury,"description"
cmg4f436d00neobfkw9sl18bv,Opportune,Amway,"description"
cmg4f436e00nmobfkclo37z46,Quixotic,Amway,"description"
cmg4f436g00o2obfkm8g7koyz,Wistful Aroma Body Mist,Amway,"description"
cmg4f436h00oaobfk6xlliyqr,Imagine for Her,Amway,"description"
cmg4f4knm0b4jobfkxbbxa4ce,360 Blue,Perry Ellis,"description"
cmg4f436100lpobfkpp9fhwbo,Vintage Lace,American Eagle,"description"
cmg4f436c00n9obfkl8jtfn9m,Ancestry in Paris,Amway,"description"
cmg4f436b00n3obfkiy1xl3d2,Anticipate,Amway,"description"
cmg4f436e00njobfke55bjg75,Opportune No1,Amway,"description"
cmg4f436f00nyobfk5m3i88uy,Sun Dapples,Amway,"description"
cmg4f436e00nkobfkfd8rkuqy,Anticipate Intense,Amway,"description"
cmg4f4knr0b5eobfkrcv8sobo,360 Pink,Perry Ellis,"description"
cmg4f436g00o0obfkildbdiya,Wistful No1,Amway,"description"
cmg4f436h00o8obfk7on6xhut,Promise for Her,Amway,"description"
cmg4f436e00noobfk1bycb7u4,Opportune Sport,Amway,"description"
cmg4f436f00nwobfkr4634ae9,Tolsom,Amway,"description"
